FrozenTrial(number=13, state=TrialState.COMPLETE, values=[117.8], datetime_start=datetime.datetime(2024, 2, 27, 16, 22, 6, 762012), datetime_complete=datetime.datetime(2024, 2, 27, 16, 35, 28, 514813), params={'lr': 1.3485992978010261e-06, 'batch_size': 1024, 'n_epochs': 8, 'clip_range': 0.2670574842044885, 'n_steps': 1024, 'gamma': 0.9963198449873422, 'seed': 344}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=13, value=None)
FrozenTrial(number=37, state=TrialState.COMPLETE, values=[522.2], datetime_start=datetime.datetime(2024, 2, 27, 20, 11, 43, 287821), datetime_complete=datetime.datetime(2024, 2, 27, 20, 30, 49, 595941), params={'lr': 0.00021354253307392717, 'batch_size': 1024, 'n_epochs': 4, 'clip_range': 0.2631021703411726, 'n_steps': 1024, 'gamma': 0.9952745988534077, 'seed': 669}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=37, value=None)
FrozenTrial(number=27, state=TrialState.COMPLETE, values=[522.4], datetime_start=datetime.datetime(2024, 2, 27, 18, 13, 16, 857566), datetime_complete=datetime.datetime(2024, 2, 27, 18, 27, 53, 245873), params={'lr': 8.790852797808233e-05, 'batch_size': 1024, 'n_epochs': 6, 'clip_range': 0.26243469373077516, 'n_steps': 1024, 'gamma': 0.9987926168180905, 'seed': 730}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=27, value=None)
FrozenTrial(number=19, state=TrialState.COMPLETE, values=[541.0], datetime_start=datetime.datetime(2024, 2, 27, 17, 9, 6, 864817), datetime_complete=datetime.datetime(2024, 2, 27, 17, 15, 8, 418132), params={'lr': 6.772706067747027e-05, 'batch_size': 128, 'n_epochs': 7, 'clip_range': 0.2602911504082858, 'n_steps': 1024, 'gamma': 0.9958695139613987, 'seed': 784}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=19, value=None)
FrozenTrial(number=38, state=TrialState.COMPLETE, values=[541.2], datetime_start=datetime.datetime(2024, 2, 27, 20, 30, 49, 599305), datetime_complete=datetime.datetime(2024, 2, 27, 20, 51, 46, 529896), params={'lr': 3.6161644589038987e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.27139662428061473, 'n_steps': 1024, 'gamma': 0.9932495391673538, 'seed': 16}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=38, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[552.0], datetime_start=datetime.datetime(2024, 2, 27, 15, 55, 7, 209162), datetime_complete=datetime.datetime(2024, 2, 27, 16, 1, 38, 81788), params={'lr': 0.0001718327379586969, 'batch_size': 256, 'n_epochs': 6, 'clip_range': 0.28335823370073326, 'n_steps': 1024, 'gamma': 0.9918143215645687, 'seed': 601}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=9, value=None)
FrozenTrial(number=45, state=TrialState.COMPLETE, values=[552.0], datetime_start=datetime.datetime(2024, 2, 27, 21, 52, 48, 812274), datetime_complete=datetime.datetime(2024, 2, 27, 22, 1, 20, 625501), params={'lr': 4.278317452533568e-06, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.29638578811140354, 'n_steps': 512, 'gamma': 0.9935883957350518, 'seed': 236}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=45, value=None)
FrozenTrial(number=42, state=TrialState.COMPLETE, values=[554.0], datetime_start=datetime.datetime(2024, 2, 27, 21, 28, 19, 995747), datetime_complete=datetime.datetime(2024, 2, 27, 21, 36, 24, 738493), params={'lr': 1.4975912496327e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.28922262109304275, 'n_steps': 512, 'gamma': 0.994418603112988, 'seed': 367}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=42, value=None)
FrozenTrial(number=16, state=TrialState.COMPLETE, values=[554.4], datetime_start=datetime.datetime(2024, 2, 27, 16, 46, 25, 870867), datetime_complete=datetime.datetime(2024, 2, 27, 16, 58, 31, 373488), params={'lr': 1.0155653261060972e-05, 'batch_size': 256, 'n_epochs': 10, 'clip_range': 0.2735665683879166, 'n_steps': 1024, 'gamma': 0.9964944479835989, 'seed': 958}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=16, value=None)
FrozenTrial(number=43, state=TrialState.COMPLETE, values=[555.2], datetime_start=datetime.datetime(2024, 2, 27, 21, 36, 24, 740632), datetime_complete=datetime.datetime(2024, 2, 27, 21, 44, 51, 737167), params={'lr': 8.074666657625217e-06, 'batch_size': 64, 'n_epochs': 6, 'clip_range': 0.28408676522508086, 'n_steps': 512, 'gamma': 0.9958458387481165, 'seed': 155}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=43, value=None)
FrozenTrial(number=44, state=TrialState.COMPLETE, values=[555.6], datetime_start=datetime.datetime(2024, 2, 27, 21, 44, 51, 739933), datetime_complete=datetime.datetime(2024, 2, 27, 21, 52, 48, 810240), params={'lr': 4.735606101455033e-05, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.29094635583956097, 'n_steps': 512, 'gamma': 0.9900351406009329, 'seed': 79}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=44, value=None)
FrozenTrial(number=12, state=TrialState.COMPLETE, values=[571.8], datetime_start=datetime.datetime(2024, 2, 27, 16, 12, 55, 805492), datetime_complete=datetime.datetime(2024, 2, 27, 16, 22, 6, 759485), params={'lr': 2.0468360555175303e-05, 'batch_size': 512, 'n_epochs': 5, 'clip_range': 0.27248993340487554, 'n_steps': 1024, 'gamma': 0.9935583866473149, 'seed': 213}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=12, value=None)
FrozenTrial(number=28, state=TrialState.COMPLETE, values=[579.2], datetime_start=datetime.datetime(2024, 2, 27, 18, 27, 53, 247164), datetime_complete=datetime.datetime(2024, 2, 27, 18, 36, 40, 567562), params={'lr': 1.2234397687742506e-05, 'batch_size': 64, 'n_epochs': 9, 'clip_range': 0.2693144011165303, 'n_steps': 1024, 'gamma': 0.997092800844399, 'seed': 101}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=28, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[580.8], datetime_start=datetime.datetime(2024, 2, 27, 15, 0, 54, 121131), datetime_complete=datetime.datetime(2024, 2, 27, 15, 6, 36, 543271), params={'lr': 0.00014018152133532478, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.2948718204112732, 'n_steps': 1024, 'gamma': 0.9938027290392171, 'seed': 18}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=2, value=None)
FrozenTrial(number=32, state=TrialState.COMPLETE, values=[600.8], datetime_start=datetime.datetime(2024, 2, 27, 19, 1, 51, 296086), datetime_complete=datetime.datetime(2024, 2, 27, 19, 13, 2, 814), params={'lr': 6.726308625178474e-06, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.28014744529552454, 'n_steps': 512, 'gamma': 0.9940937984248491, 'seed': 616}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=32, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[603.0], datetime_start=datetime.datetime(2024, 2, 27, 15, 11, 19, 727786), datetime_complete=datetime.datetime(2024, 2, 27, 15, 23, 48, 164940), params={'lr': 0.0001221561078179506, 'batch_size': 1024, 'n_epochs': 6, 'clip_range': 0.2913901381791134, 'n_steps': 1024, 'gamma': 0.9976370136150472, 'seed': 598}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=4, value=None)
FrozenTrial(number=24, state=TrialState.COMPLETE, values=[603.2], datetime_start=datetime.datetime(2024, 2, 27, 17, 47, 42, 727326), datetime_complete=datetime.datetime(2024, 2, 27, 17, 56, 31, 431165), params={'lr': 5.1326166513678e-05, 'batch_size': 128, 'n_epochs': 6, 'clip_range': 0.26956076508114124, 'n_steps': 1024, 'gamma': 0.9919053731805835, 'seed': 299}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=24, value=None)
FrozenTrial(number=21, state=TrialState.COMPLETE, values=[604.8], datetime_start=datetime.datetime(2024, 2, 27, 17, 22, 47, 486027), datetime_complete=datetime.datetime(2024, 2, 27, 17, 30, 50, 665292), params={'lr': 5.4424206755896915e-05, 'batch_size': 128, 'n_epochs': 5, 'clip_range': 0.2682026499467357, 'n_steps': 1024, 'gamma': 0.9929717210333792, 'seed': 556}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.005, log=True, low=1e-06, step=None), 'batch_size': CategoricalDistribution(choices=(64, 128, 256, 512, 1024)), 'n_epochs': IntDistribution(high=10, log=False, low=3, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.26, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024)), 'gamma': FloatDistribution(high=0.999, log=True, low=0.99, step=None), 'seed': IntDistribution(high=1000, log=False, low=0, step=1)}, trial_id=21, value=None)
