FrozenTrial(number=24, state=TrialState.COMPLETE, values=[-90.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 33, 2, 346558), datetime_complete=datetime.datetime(2024, 2, 27, 10, 37, 31, 42286), params={'lr': 0.0009185338886994612, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.17897660986292593, 'n_steps': 512, 'gamma': 0.9955307519091522}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=24, value=None)
FrozenTrial(number=2, state=TrialState.COMPLETE, values=[472.3], datetime_start=datetime.datetime(2024, 2, 27, 9, 5, 55, 901918), datetime_complete=datetime.datetime(2024, 2, 27, 9, 10, 12, 764066), params={'lr': 0.0001310117199229842, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.16866035972706206, 'n_steps': 2048, 'gamma': 0.9909055122349765}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=2, value=None)
FrozenTrial(number=16, state=TrialState.COMPLETE, values=[490.3], datetime_start=datetime.datetime(2024, 2, 27, 10, 2, 10, 540434), datetime_complete=datetime.datetime(2024, 2, 27, 10, 6, 39, 236437), params={'lr': 0.09258667071177373, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.26576088762100347, 'n_steps': 512, 'gamma': 0.9942217425492957}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=16, value=None)
FrozenTrial(number=38, state=TrialState.COMPLETE, values=[528.4], datetime_start=datetime.datetime(2024, 2, 27, 11, 34, 0, 445448), datetime_complete=datetime.datetime(2024, 2, 27, 11, 38, 8, 859731), params={'lr': 0.00010155497122612036, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.2872913943550916, 'n_steps': 2048, 'gamma': 0.9932816644706713}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=38, value=None)
FrozenTrial(number=25, state=TrialState.COMPLETE, values=[529.0], datetime_start=datetime.datetime(2024, 2, 27, 10, 37, 31, 43845), datetime_complete=datetime.datetime(2024, 2, 27, 10, 41, 59, 252853), params={'lr': 0.01075585901059979, 'batch_size': 16, 'n_epochs': 2, 'clip_range': 0.21730964516241436, 'n_steps': 2048, 'gamma': 0.9997201537911452}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=25, value=None)
FrozenTrial(number=39, state=TrialState.COMPLETE, values=[545.1], datetime_start=datetime.datetime(2024, 2, 27, 11, 38, 8, 862385), datetime_complete=datetime.datetime(2024, 2, 27, 11, 42, 44, 501433), params={'lr': 0.00022014210249100399, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.2673772267545258, 'n_steps': 512, 'gamma': 0.99454227259785}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=39, value=None)
FrozenTrial(number=18, state=TrialState.COMPLETE, values=[550.3], datetime_start=datetime.datetime(2024, 2, 27, 10, 10, 53, 590895), datetime_complete=datetime.datetime(2024, 2, 27, 10, 15, 6, 775394), params={'lr': 0.04166757347299899, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.1329168561599121, 'n_steps': 512, 'gamma': 0.988318328718812}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=18, value=None)
FrozenTrial(number=23, state=TrialState.COMPLETE, values=[551.7], datetime_start=datetime.datetime(2024, 2, 27, 10, 28, 36, 271919), datetime_complete=datetime.datetime(2024, 2, 27, 10, 33, 2, 344293), params={'lr': 0.0004935427005276326, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.22101833490265785, 'n_steps': 512, 'gamma': 0.9910983666738118}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=23, value=None)
FrozenTrial(number=46, state=TrialState.COMPLETE, values=[554.3], datetime_start=datetime.datetime(2024, 2, 27, 12, 8, 50, 601063), datetime_complete=datetime.datetime(2024, 2, 27, 12, 14, 25, 626791), params={'lr': 0.0002517018798312515, 'batch_size': 32, 'n_epochs': 4, 'clip_range': 0.256603817417128, 'n_steps': 1024, 'gamma': 0.9917907793486558}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=46, value=None)
FrozenTrial(number=7, state=TrialState.COMPLETE, values=[563.5], datetime_start=datetime.datetime(2024, 2, 27, 9, 30, 1, 381898), datetime_complete=datetime.datetime(2024, 2, 27, 9, 33, 58, 643380), params={'lr': 0.00032866393987777975, 'batch_size': 16, 'n_epochs': 1, 'clip_range': 0.14111069870454893, 'n_steps': 2048, 'gamma': 0.9922189025672205}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=7, value=None)
FrozenTrial(number=35, state=TrialState.COMPLETE, values=[563.9], datetime_start=datetime.datetime(2024, 2, 27, 11, 20, 18, 152096), datetime_complete=datetime.datetime(2024, 2, 27, 11, 24, 41, 934650), params={'lr': 5.481658231320708e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.27732030613122266, 'n_steps': 512, 'gamma': 0.9921305693115793}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=35, value=None)
FrozenTrial(number=36, state=TrialState.COMPLETE, values=[566.2], datetime_start=datetime.datetime(2024, 2, 27, 11, 24, 41, 936120), datetime_complete=datetime.datetime(2024, 2, 27, 11, 29, 11, 375581), params={'lr': 5.1567792211364715e-05, 'batch_size': 64, 'n_epochs': 5, 'clip_range': 0.28141003151637484, 'n_steps': 512, 'gamma': 0.9898403673419848}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=36, value=None)
FrozenTrial(number=3, state=TrialState.COMPLETE, values=[570.2], datetime_start=datetime.datetime(2024, 2, 27, 9, 10, 12, 765283), datetime_complete=datetime.datetime(2024, 2, 27, 9, 15, 34, 863028), params={'lr': 5.123350400138862e-05, 'batch_size': 32, 'n_epochs': 5, 'clip_range': 0.2934838421677922, 'n_steps': 512, 'gamma': 0.9928379871831436}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=3, value=None)
FrozenTrial(number=42, state=TrialState.COMPLETE, values=[577.4], datetime_start=datetime.datetime(2024, 2, 27, 11, 51, 24, 729559), datetime_complete=datetime.datetime(2024, 2, 27, 11, 55, 4, 497631), params={'lr': 0.04139428061804508, 'batch_size': 64, 'n_epochs': 1, 'clip_range': 0.29785174235018885, 'n_steps': 512, 'gamma': 0.9929476374084676}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=42, value=None)
FrozenTrial(number=49, state=TrialState.COMPLETE, values=[579.1], datetime_start=datetime.datetime(2024, 2, 27, 12, 23, 15, 552899), datetime_complete=datetime.datetime(2024, 2, 27, 12, 27, 40, 241156), params={'lr': 8.262884461174066e-05, 'batch_size': 32, 'n_epochs': 3, 'clip_range': 0.27281107309779845, 'n_steps': 2048, 'gamma': 0.9987596286523784}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=49, value=None)
FrozenTrial(number=4, state=TrialState.COMPLETE, values=[584.9], datetime_start=datetime.datetime(2024, 2, 27, 9, 15, 34, 864220), datetime_complete=datetime.datetime(2024, 2, 27, 9, 21, 10, 730940), params={'lr': 0.00037034100707917736, 'batch_size': 32, 'n_epochs': 5, 'clip_range': 0.1886472981836393, 'n_steps': 512, 'gamma': 0.9840037632032194}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=4, value=None)
FrozenTrial(number=48, state=TrialState.COMPLETE, values=[590.3], datetime_start=datetime.datetime(2024, 2, 27, 12, 18, 41, 578327), datetime_complete=datetime.datetime(2024, 2, 27, 12, 23, 15, 550686), params={'lr': 0.00013077066981153599, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.24324810825337662, 'n_steps': 512, 'gamma': 0.9961805830883491}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=48, value=None)
FrozenTrial(number=9, state=TrialState.COMPLETE, values=[594.8], datetime_start=datetime.datetime(2024, 2, 27, 9, 37, 32, 452633), datetime_complete=datetime.datetime(2024, 2, 27, 9, 41, 37, 384901), params={'lr': 0.07043959457611361, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.29854397814808875, 'n_steps': 1024, 'gamma': 0.9858532548185716}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=9, value=None)
FrozenTrial(number=17, state=TrialState.COMPLETE, values=[603.6], datetime_start=datetime.datetime(2024, 2, 27, 10, 6, 39, 238031), datetime_complete=datetime.datetime(2024, 2, 27, 10, 10, 53, 588888), params={'lr': 0.022589855105266683, 'batch_size': 64, 'n_epochs': 3, 'clip_range': 0.20600418376913437, 'n_steps': 512, 'gamma': 0.9900321180446958}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=17, value=None)
FrozenTrial(number=40, state=TrialState.COMPLETE, values=[632.1], datetime_start=datetime.datetime(2024, 2, 27, 11, 42, 44, 503366), datetime_complete=datetime.datetime(2024, 2, 27, 11, 47, 0, 676331), params={'lr': 0.0005563221772563477, 'batch_size': 64, 'n_epochs': 4, 'clip_range': 0.22835302794141682, 'n_steps': 1024, 'gamma': 0.9921344066978205}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=40, value=None)
FrozenTrial(number=45, state=TrialState.COMPLETE, values=[664.1], datetime_start=datetime.datetime(2024, 2, 27, 12, 3, 14, 948562), datetime_complete=datetime.datetime(2024, 2, 27, 12, 8, 50, 599353), params={'lr': 2.4681845654593277e-05, 'batch_size': 16, 'n_epochs': 5, 'clip_range': 0.2879802226233576, 'n_steps': 512, 'gamma': 0.9950840111642996}, user_attrs={}, system_attrs={}, intermediate_values={}, distributions={'lr': FloatDistribution(high=0.1, log=True, low=1e-05, step=None), 'batch_size': CategoricalDistribution(choices=(16, 32, 64)), 'n_epochs': IntDistribution(high=5, log=False, low=1, step=1), 'clip_range': FloatDistribution(high=0.3, log=False, low=0.1, step=None), 'n_steps': CategoricalDistribution(choices=(512, 1024, 2048)), 'gamma': FloatDistribution(high=0.9999, log=True, low=0.98, step=None)}, trial_id=45, value=None)
